CATEGORY,word
gratitude,感谢
gratitude,谢谢
gratitude,重谢
gratitude,鸣谢
deference,厉害
deference,棒
deference,强
deference,牛
deference,美
deference,漂亮
deference,真厉害
deference,真棒
deference,真强
deference,真牛
deference,真美
deference,真漂亮
deference,好厉害
deference,好棒
deference,好强
deference,好牛
deference,好美
deference,好漂亮
deference,干得好
deference,干得漂亮
deference,干得真好
deference,干得真漂亮
deference,干的好
deference,干的漂亮
deference,干的真好
deference,干的真漂亮
greeting,嗨
greeting,哈喽
greeting,哈罗
greeting,嘿
greeting,你好
greeting,早上好
greeting,上午好
greeting,中午好
greeting,下午好
greeting,晚上好
greeting,晚安
greeting,安安
greeting,安好
greeting,你们好
greeting,大家好
greeting,久违了
greeting,好久不见
greeting,欢迎
greeting,吃了吗
greeting,早安
greeting,午安
greeting,晚安
greeting,见到你真高兴
greeting,辛苦了
greeting,再见
apologetic,对不起
apologetic,对不住
apologetic,抱歉
apologetic,骚瑞
apologetic,不好意思
apologetic,很遗憾
please,请
please,拜托
please,帮忙
indirect_btw,对了
indirect_btw,话说
indirect_btw,说起来
indirect_btw,顺便说一下
indirect_btw,顺带提一句
indirect_btw,顺带一提
indirect_btw,顺带问一下
indirect_btw,附带说一下
direct_question,为什么
direct_question,凭什么
direct_question,几
direct_question,哪
direct_question,多少
direct_question,怎
direct_question,谁
direct_question,咋
direct_question,什么时候
direct_question,何时
direct_question,为何
direct_question,如何
direct_question,为啥
direct_question,啥
direct_question,干嘛
direct_question,干啥
first_person_plural,我们
first_person_plural,咱们
first_person_plural,咱们俩
first_person_plural,咱俩
first_person_plural,我们大家
first_person_singular,我
first_person_singular,俺
second_person,你
hedge,可
hedge,可以
hedge,能
hedge,不能
hedge,应
hedge,应该
hedge,需
hedge,会
hedge,不会
hedge,将
hedge,一些
hedge,几乎
hedge,上下
hedge,左右
hedge,尽可能
hedge,多
hedge,少数
hedge,多数
hedge,验证
hedge,按时
hedge,表明
hedge,推测
hedge,判断
hedge,猜测
hedge,猜
hedge,估计
hedge,大概
hedge,没准
hedge,也许
hedge,或许
hedge,或者
hedge,可能
hedge,似乎
hedge,说不定
hedge,少许
hedge,稍微
hedge,一点儿
hedge,一点
hedge,一丁点
hedge,一丁点儿
hedge,稍稍
hedge,少量
factuality,其实
factuality,说实话
factuality,讲真
emergency,赶紧
emergency,立刻
emergency,马上
emergency,赶快
emergency,紧急
emergency,尽快
emergency,立马
emergency,迅速
emergency,急需
emergency,紧迫
emergency,亟需
ingroup_ident,咱
ingroup_ident,咱们
ingroup_ident,俺们
ingroup_ident,我们
praise,真厉害
praise,好厉害
praise,厉害
praise,真棒
praise,好棒
praise,棒
praise,真强
praise,好强
praise,强
praise,真牛
praise,好牛
praise,牛
praise,真美
praise,好美
praise,美
praise,真漂亮
praise,好漂亮
praise,漂亮
praise,干得好
praise,干得真好
praise,干的好
praise,干的真好
praise,干得漂亮
praise,干得真漂亮
praise,干的漂亮
praise,干的真漂亮
promise,一定
promise,肯定
promise,绝对
promise,没错
promise,必
promise,保证
promise,确凿
together,一起
together,一齐
together,一同
together,一块儿
you_direct,你
you_honorific,您
you_honorific,阁下
you_honorific,先生
you_honorific,女士
taboo,拷
taboo,靠
taboo,操
taboo,艹
taboo,草
taboo,cao
taboo,我擦
taboo,擦嘞
taboo,干
taboo,呸
taboo,夭寿
taboo,他妈
taboo,他妹的
taboo,你妈
taboo,你妹
taboo,nm
taboo,tm
taboo,去你的
taboo,他奶奶的
taboo,tnnd
taboo,妈蛋
taboo,妈的
taboo,md
taboo,该死
taboo,靠背
taboo,靠杯
taboo,白目
taboo,白痴
taboo,人渣
taboo,王八蛋
taboo,怪胎
taboo,孬种
taboo,畜生
taboo,淫妇
taboo,混蛋
taboo,混蛋
taboo,魂淡
taboo,龟孙
taboo,笨蛋
taboo,智障
taboo,傻瓜
taboo,蠢猪
taboo,蠢狗
taboo,傻狗
taboo,窝囊废
taboo,废物
taboo,泼妇
taboo,骚货
taboo,骚逼
taboo,贱人
taboo,贱货
taboo,荡妇
taboo,杂种
taboo,坏蛋
taboo,烂货
taboo,傻帽
taboo,250
taboo,贰佰伍
taboo,二货
taboo,2B
taboo,二百五
taboo,SB
taboo,傻逼
taboo,傻B
taboo,煞笔
taboo,沙比
taboo,混账
taboo,婊子
taboo,脑残
taboo,米田共
taboo,屁
taboo,屎
taboo,屌
taboo,粪
taboo,尿
taboo,死
